Year,State_Name,State_FIPS,Scaling_Factor,GCAM_USA_Load_TWh,Raw_TELL_Load_TWh,Scaled_TELL_Load_TWh
2014,Alabama,1000,1.05142,92.95769,88.41146,92.95769
2014,Arizona,4000,1.06981,89.03567,83.22586,89.03567
2014,Arkansas,5000,1.18082,49.56445,41.97454,49.56445
2014,California,6000,1.0461,304.97104,291.53278,304.97104
2014,Colorado,8000,0.98755,60.24747,61.00686,60.24747
2014,Connecticut,9000,1.19001,31.81769,26.73737,31.81769
2014,Delaware,10000,1.17361,12.68096,10.80506,12.68096
2014,District of Columbia,11000,1.72523,13.24268,7.67588,13.24268
2014,Florida,12000,1.07473,275.40061,256.2508,275.40061
2014,Georgia,13000,0.9855,149.63303,151.8349,149.63303
2014,Idaho,16000,1.01292,26.32165,25.98593,26.32165
2014,Illinois,17000,0.91054,148.89126,163.51905,148.89126
2014,Indiana,18000,1.06541,106.95454,100.38798,106.95454
2014,Iowa,19000,1.04936,51.0054,48.60635,51.0054
2014,Kansas,20000,1.06115,43.75717,41.23567,43.75717
2014,Kentucky,21000,0.84232,80.60974,95.69986,80.60974
2014,Louisiana,22000,1.56731,94.72317,60.43682,94.72317
2014,Maine,23000,1.26228,12.49398,9.89796,12.49398
2014,Maryland,24000,1.01788,70.26564,69.03132,70.26564
2014,Massachusetts,25000,1.21007,60.87475,50.30687,60.87475
2014,Michigan,26000,0.86516,108.57621,125.49862,108.57621
2014,Minnesota,27000,1.07328,73.3571,68.3486,73.3571
2014,Mississippi,28000,0.86405,51.13614,59.18184,51.13614
2014,Missouri,29000,0.949,90.36953,95.2258,90.36953
2014,Montana,30000,0.75167,15.35826,20.43227,15.35826
2014,Nebraska,31000,1.17814,32.40446,27.50481,32.40446
2014,Nevada,32000,1.1686,41.41761,35.44216,41.41761
2014,New Hampshire,33000,1.21421,12.04049,9.91628,12.04049
2014,New Jersey,34000,0.75115,85.80299,114.22899,85.80299
2014,New Mexico,35000,1.06862,24.02372,22.48104,24.02372
2014,New York,36000,1.0707,167.44682,156.38956,167.44682
2014,North Carolina,37000,0.95257,149.41107,156.8503,149.41107
2014,North Dakota,38000,1.02506,19.00163,18.53709,19.00163
2014,Ohio,39000,1.16721,156.91099,134.43209,156.91099
2014,Oklahoma,40000,1.03911,65.88304,63.40331,65.88304
2014,Oregon,41000,1.02323,53.9534,52.72834,53.9534
2014,Pennsylvania,42000,1.04949,155.93497,148.58141,155.93497
2014,Rhode Island,44000,1.06738,8.38374,7.85447,8.38374
2014,South Carolina,45000,1.10522,89.20645,80.71408,89.20645
2014,South Dakota,46000,0.61777,13.44843,21.76944,13.44843
2014,Tennessee,47000,1.1388,111.08899,97.54947,111.08899
2014,Texas,48000,0.90665,437.2882,482.31218,437.2882
2014,Utah,49000,1.01673,34.92663,34.35182,34.92663
2014,Vermont,50000,1.27538,5.93083,4.65026,5.93083
2014,Virginia,51000,1.25291,124.42903,99.31219,124.42903
2014,Washington,53000,1.09176,105.86519,96.96702,105.86519
2014,West Virginia,54000,1.51268,32.41351,21.42793,32.41351
2014,Wisconsin,55000,1.08206,73.18046,67.63057,73.18046
2014,Wyoming,56000,2.32081,16.42138,7.0757,16.42138
